trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_045,王孝辰,2,小组竞演与主题曲阶段,19,14,67,256,404
chuang2021_045,王孝辰,3,首次排名阶段,25,48,116,362,642
chuang2021_045,王孝辰,4,位置测评与第二次排名阶段,19,37,183,1997,2400
chuang2021_045,王孝辰,5,主题考核与第三次排名阶段,25,53,553,4661,5820
chuang2021_045,王孝辰,6,决赛阶段,24,32,184,679,1079
chuang2021_046,屈柏宇,1,初评级阶段,24,1037,3881,68907,77706
chuang2021_046,屈柏宇,2,小组竞演与主题曲阶段,27,499,669,4250,6087
chuang2021_046,屈柏宇,3,首次排名阶段,30,3,25,75,128
chuang2021_046,屈柏宇,4,位置测评与第二次排名阶段,23,1049,1856,7785,12546
chuang2021_046,屈柏宇,5,主题考核与第三次排名阶段,19,61,474,5837,6846
chuang2021_046,屈柏宇,6,决赛阶段,19,48,56,830,990
chuang2021_047,蒋敦豪,1,初评级阶段,25,251,2049,20022,24371
chuang2021_047,蒋敦豪,2,小组竞演与主题曲阶段,18,12,40,91,183
chuang2021_047,蒋敦豪,3,首次排名阶段,26,964,1136,2573,5809
chuang2021_047,蒋敦豪,4,位置测评与第二次排名阶段,27,107,377,1192,2053
chuang2021_047,蒋敦豪,5,主题考核与第三次排名阶段,24,28,131,327,617
chuang2021_047,蒋敦豪,6,决赛阶段,25,65,282,2723,3352
chuang2021_048,代少冬,1,初评级阶段,26,3278,4591,18672,31132
chuang2021_048,代少冬,2,小组竞演与主题曲阶段,23,556,697,1635,3585
chuang2021_048,代少冬,3,首次排名阶段,26,16,106,385,613
chuang2021_048,代少冬,4,位置测评与第二次排名阶段,27,26,182,1309,1699
chuang2021_048,代少冬,5,主题考核与第三次排名阶段,23,16,136,508,796
chuang2021_048,代少冬,6,决赛阶段,21,168666,1147,6976,177936
chuang2021_049,黄鲲,1,初评级阶段,25,432,3360,35638,42790
chuang2021_049,黄鲲,2,小组竞演与主题曲阶段,25,573,852,6172,8449
chuang2021_049,黄鲲,3,首次排名阶段,27,6,25,100,156
chuang2021_049,黄鲲,4,位置测评与第二次排名阶段,21,1811,2442,15907,22602
chuang2021_049,黄鲲,5,主题考核与第三次排名阶段,20,2,10,36,58
chuang2021_049,黄鲲,6,决赛阶段,24,78790,1624,25945,107983
chuang2021_050,一之濑飞鸟,1,初评级阶段,24,321,2446,22536,27749
chuang2021_050,一之濑飞鸟,2,小组竞演与主题曲阶段,27,706,856,8314,10732
chuang2021_050,一之濑飞鸟,3,首次排名阶段,20,10,144,412,710
chuang2021_050,一之濑飞鸟,4,位置测评与第二次排名阶段,18,387,1583,94916,98469
chuang2021_050,一之濑飞鸟,5,主题考核与第三次排名阶段,22,246,2054,20784,25138
chuang2021_050,一之濑飞鸟,6,决赛阶段,25,168654,726,5328,175434
chuang2021_051,何圳煜,1,初评级阶段,22,252,2183,21084,25702
chuang2021_051,何圳煜,2,小组竞演与主题曲阶段,28,3,45,169,262
