trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_047,蒋敦豪,7,27,107,377,1192,2053
chuang2021_047,蒋敦豪,9,24,28,131,327,617
chuang2021_047,蒋敦豪,10,25,65,282,2723,3352
chuang2021_048,代少冬,1,26,3278,4591,18672,31132
chuang2021_048,代少冬,3,23,556,697,1635,3585
chuang2021_048,代少冬,5,26,16,106,385,613
chuang2021_048,代少冬,7,27,26,182,1309,1699
chuang2021_048,代少冬,9,23,16,136,508,796
chuang2021_048,代少冬,10,21,168666,1147,6976,177936
chuang2021_049,黄鲲,1,25,432,3360,35638,42790
chuang2021_049,黄鲲,3,25,573,852,6172,8449
chuang2021_049,黄鲲,5,27,6,25,100,156
chuang2021_049,黄鲲,7,21,1811,2442,15907,22602
chuang2021_049,黄鲲,9,20,2,10,36,58
chuang2021_049,黄鲲,10,24,78790,1624,25945,107983
chuang2021_050,一之濑飞鸟,1,24,321,2446,22536,27749
chuang2021_050,一之濑飞鸟,3,27,706,856,8314,10732
chuang2021_050,一之濑飞鸟,5,20,10,144,412,710
chuang2021_050,一之濑飞鸟,7,18,387,1583,94916,98469
chuang2021_050,一之濑飞鸟,9,22,246,2054,20784,25138
chuang2021_050,一之濑飞鸟,10,25,168654,726,5328,175434
chuang2021_051,何圳煜,1,22,252,2183,21084,25702
chuang2021_051,何圳煜,3,28,3,45,169,262
chuang2021_051,何圳煜,5,18,10,145,428,728
chuang2021_051,何圳煜,7,18,140,388,1349,2265
chuang2021_051,何圳煜,9,23,834,2596,54414,60440
chuang2021_051,何圳煜,10,26,8,175,230,588
chuang2021_052,徐绍岚,1,24,355,2541,31382,36819
chuang2021_052,徐绍岚,3,25,203,654,21483,22994
chuang2021_052,徐绍岚,5,24,343,636,2518,4133
chuang2021_052,徐绍岚,7,21,4,8,218,238
chuang2021_052,徐绍岚,9,24,60,60,542,722
chuang2021_052,徐绍岚,10,24,168513,325,812,169975
chuang2021_053,何懿峻,1,23,494,2433,24764,30124
chuang2021_053,何懿峻,3,20,166,1673,48517,52029
chuang2021_053,何懿峻,5,15,253,598,8216,9665
chuang2021_053,何懿峻,7,16,22,78,508,686
chuang2021_053,何懿峻,9,22,247,1902,58060,62111
chuang2021_053,何懿峻,10,21,168672,865,16320,186722
chuang2021_054,张璋,1,24,245,1936,19468,23585
chuang2021_054,张璋,3,25,327,1694,43758,47473
chuang2021_054,张璋,5,23,238,386,812,1822
chuang2021_054,张璋,7,24,34,175,3497,3881
chuang2021_054,张璋,9,26,6,217,557,997
chuang2021_054,张璋,10,27,186,579,15768,17112
chuang2021_055,范臻尔,1,26,275,2467,22271,27480
chuang2021_055,范臻尔,3,25,1,5,3,14
chuang2021_055,范臻尔,5,24,418,1773,66464,70428
chuang2021_055,范臻尔,7,22,388,1565,94837,98355
chuang2021_055,范臻尔,9,25,437,2059,57733,62288
chuang2021_055,范臻尔,10,20,79813,2683,27077,112256
chuang2021_056,大卫,1,21,432,1635,23447,27149
chuang2021_056,大卫,3,19,1156,875,14524,17430
chuang2021_056,大卫,5,22,16,104,614,838
chuang2021_056,大卫,7,20,32,224,588,1068
chuang2021_056,大卫,9,19,84,229,1324,1866
chuang2021_056,大卫,10,24,718,778,5276,7550
chuang2021_057,李泽坤,1,23,263,2122,21075,25582
chuang2021_057,李泽坤,3,22,8,9,33,59
chuang2021_057,李泽坤,5,21,422,2631,51555,57239
chuang2021_057,李泽坤,7,20,0,1,7,9
chuang2021_057,李泽坤,9,17,0,11,10,32
chuang2021_057,李泽坤,10,10,407,351,1069,2178
chuang2021_058,林煜修,1,22,255,2016,19558,23845
chuang2021_058,林煜修,3,27,1,14,61,90
chuang2021_058,林煜修,5,27,23,31,189,274
chuang2021_058,林煜修,7,14,7,40,112,199
chuang2021_058,林煜修,9,20,56,353,1391,2153
chuang2021_058,林煜修,10,24,27,190,746,1153
chuang2021_059,李家豪,1,26,254,2104,20051,24513
chuang2021_059,李家豪,3,26,121,691,832,2335
chuang2021_059,李家豪,5,26,124,707,1634,3172
chuang2021_059,李家豪,7,28,23,50,259,382
chuang2021_059,李家豪,9,4,79,550,1630,2809
chuang2021_059,李家豪,10,19,7,22,101,152
chuang2021_060,都筑雄哉,1,22,562,2392,23986,29332
chuang2021_060,都筑雄哉,3,23,491,2574,68102,73741
chuang2021_060,都筑雄哉,5,29,4,11,51,77
chuang2021_060,都筑雄哉,7,19,125,748,4503,6124
chuang2021_060,都筑雄哉,9,23,108,439,2828,3814
chuang2021_060,都筑雄哉,10,9,70,516,3394,4496
chuang2021_061,刘唐辉,1,24,243,1970,19503,23686
chuang2021_061,刘唐辉,3,22,1027,1401,8488,12317
chuang2021_061,刘唐辉,5,27,251,494,3357,4596
chuang2021_061,刘唐辉,7,25,16,33,180,262
chuang2021_061,刘唐辉,9,16,994,31,125,1181
chuang2021_061,刘唐辉,10,22,23,68,433,592
