trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
chuang2021_035,上原一翔,35,0,146,2431,4990,40288,html:初评级阶段:上原一翔 创造营2021:200:26 | html:小组竞演与主题曲阶段:上原一翔 创造营2021:200:25 | html:首次排名阶段:上原一翔 创造营2021:200:21 | html:位置测评与第二次排名阶段:上原一翔 创造营2021:200:22 | html:主题考核与第三次排名阶段:上原一翔 创造营2021:200:25 | html:决赛阶段:上原一翔 创造营2021:200:27,1,6,6
chuang2021_036,诺言,36,0,130,1894,3086,28192,html:初评级阶段:诺言 创造营2021:200:20 | html:小组竞演与主题曲阶段:诺言 创造营2021:200:21 | html:首次排名阶段:诺言 创造营2021:200:22 | html:位置测评与第二次排名阶段:诺言 创造营2021:200:22 | html:主题考核与第三次排名阶段:诺言 创造营2021:200:23 | html:决赛阶段:诺言 创造营2021:200:22,1,6,6
chuang2021_037,罗言,37,0,121,671,3886,49509,html:初评级阶段:罗言 创造营2021:200:22 | html:小组竞演与主题曲阶段:罗言 创造营2021:200:24 | html:首次排名阶段:罗言 创造营2021:200:18 | html:位置测评与第二次排名阶段:罗言 创造营2021:200:19 | html:主题考核与第三次排名阶段:罗言 创造营2021:200:14 | html:决赛阶段:罗言 创造营2021:200:24,1,6,6
chuang2021_038,佐藤永翔,38,0,153,1155,2840,31018,html:初评级阶段:佐藤永翔 创造营2021:200:27 | html:小组竞演与主题曲阶段:佐藤永翔 创造营2021:200:24 | html:首次排名阶段:佐藤永翔 创造营2021:200:22 | html:位置测评与第二次排名阶段:佐藤永翔 创造营2021:200:23 | html:主题考核与第三次排名阶段:佐藤永翔 创造营2021:200:30 | html:决赛阶段:佐藤永翔 创造营2021:200:27,1,6,6
chuang2021_039,叶皓然,39,0,135,2557,6069,71175,html:初评级阶段:叶皓然 创造营2021:200:20 | html:小组竞演与主题曲阶段:叶皓然 创造营2021:200:26 | html:首次排名阶段:叶皓然 创造营2021:200:22 | html:位置测评与第二次排名阶段:叶皓然 创造营2021:200:21 | html:主题考核与第三次排名阶段:叶皓然 创造营2021:200:26 | html:决赛阶段:叶皓然 创造营2021:200:20,1,6,6
chuang2021_040,韩佩泉,40,0,138,1968,1508,13833,html:初评级阶段:韩佩泉 创造营2021:200:22 | html:小组竞演与主题曲阶段:韩佩泉 创造营2021:200:22 | html:首次排名阶段:韩佩泉 创造营2021:200:22 | html:位置测评与第二次排名阶段:韩佩泉 创造营2021:200:23 | html:主题考核与第三次排名阶段:韩佩泉 创造营2021:200:24 | html:决赛阶段:韩佩泉 创造营2021:200:25,1,6,6
chuang2021_041,陆定昊,41,0,125,35681,19896,79019,html:初评级阶段:陆定昊 创造营2021:200:23 | html:小组竞演与主题曲阶段:陆定昊 创造营2021:200:13 | html:首次排名阶段:陆定昊 创造营2021:200:21 | html:位置测评与第二次排名阶段:陆定昊 创造营2021:200:26 | html:主题考核与第三次排名阶段:陆定昊 创造营2021:200:19 | html:决赛阶段:陆定昊 创造营2021:200:23,1,6,6
chuang2021_042,邵明明,42,0,144,169097,1486,15468,html:初评级阶段:邵明明 创造营2021:200:25 | html:小组竞演与主题曲阶段:邵明明 创造营2021:200:28 | html:首次排名阶段:邵明明 创造营2021:200:22 | html:位置测评与第二次排名阶段:邵明明 创造营2021:200:21 | html:主题考核与第三次排名阶段:邵明明 创造营2021:200:23 | html:决赛阶段:邵明明 创造营2021:200:25,1,6,6
chuang2021_043,李洛尔,43,0,119,1861,3680,25016,html:初评级阶段:李洛尔 创造营2021:200:22 | html:小组竞演与主题曲阶段:李洛尔 创造营2021:200:19 | html:首次排名阶段:李洛尔 创造营2021:200:21 | html:位置测评与第二次排名阶段:李洛尔 创造营2021:200:19 | html:主题考核与第三次排名阶段:李洛尔 创造营2021:200:20 | html:决赛阶段:李洛尔 创造营2021:200:18,1,6,6
chuang2021_044,于洋,44,0,133,7657,7559,73068,html:初评级阶段:于洋 创造营2021:200:21 | html:小组竞演与主题曲阶段:于洋 创造营2021:200:23 | html:首次排名阶段:于洋 创造营2021:200:17 | html:位置测评与第二次排名阶段:于洋 创造营2021:200:22 | html:主题考核与第三次排名阶段:于洋 创造营2021:200:26 | html:决赛阶段:于洋 创造营2021:200:24,1,6,6
