trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
chuang2021_034,贵尚奇,2021-04-16,2,1,1,6
chuang2021_034,贵尚奇,2021-04-17,1,1,2,7
chuang2021_034,贵尚奇,2021-04-18,1,1,1,5
chuang2021_034,贵尚奇,2021-04-19,4,1,1,7
chuang2021_034,贵尚奇,2021-04-20,7,18,16,39
chuang2021_034,贵尚奇,2021-04-21,4,78593,836,6251
chuang2021_034,贵尚奇,2021-04-22,4,1,1,8
chuang2021_034,贵尚奇,2021-04-23,2,1,1,6
chuang2021_034,贵尚奇,2021-04-24,3,6,16,66
chuang2021_035,上原一翔,2021-02-18,1,24,100,603
chuang2021_035,上原一翔,2021-02-20,3,17,12,66
chuang2021_035,上原一翔,2021-02-21,3,55,19,121
chuang2021_035,上原一翔,2021-02-22,3,15,81,426
chuang2021_035,上原一翔,2021-02-23,1,0,0,4
chuang2021_035,上原一翔,2021-02-24,2,2,9,21
chuang2021_035,上原一翔,2021-02-26,2,2,3,13
chuang2021_035,上原一翔,2021-02-27,11,309,2009,19976
chuang2021_035,上原一翔,2021-03-13,25,383,406,1787
chuang2021_035,上原一翔,2021-03-20,21,3,125,638
chuang2021_035,上原一翔,2021-04-03,22,36,117,589
chuang2021_035,上原一翔,2021-04-15,4,0,21,62
chuang2021_035,上原一翔,2021-04-16,10,3,19,81
chuang2021_035,上原一翔,2021-04-17,11,533,682,2343
chuang2021_035,上原一翔,2021-04-24,27,1049,1387,13558
chuang2021_036,诺言,2021-02-27,20,166,1160,13332
chuang2021_036,诺言,2021-03-13,21,17,141,2179
chuang2021_036,诺言,2021-03-20,22,1192,578,5441
chuang2021_036,诺言,2021-04-03,22,490,733,5457
chuang2021_036,诺言,2021-04-17,23,0,22,138
chuang2021_036,诺言,2021-04-23,1,0,0,0
chuang2021_036,诺言,2021-04-24,21,29,452,1645
chuang2021_037,罗言,2021-02-25,2,5,80,1183
chuang2021_037,罗言,2021-02-26,1,0,0,0
chuang2021_037,罗言,2021-02-27,19,244,1982,19603
chuang2021_037,罗言,2021-03-12,3,0,29,27
chuang2021_037,罗言,2021-03-13,21,99,1050,24967
chuang2021_037,罗言,2021-03-20,18,39,154,1097
chuang2021_037,罗言,2021-04-03,19,182,236,1355
chuang2021_037,罗言,2021-04-16,4,2,93,184
chuang2021_037,罗言,2021-04-17,10,0,32,128
chuang2021_037,罗言,2021-04-24,24,100,230,965
chuang2021_038,佐藤永翔,2021-02-27,27,970,1777,18510
chuang2021_038,佐藤永翔,2021-03-12,2,0,0,1
chuang2021_038,佐藤永翔,2021-03-13,22,49,440,9627
chuang2021_038,佐藤永翔,2021-03-19,2,0,0,0
chuang2021_038,佐藤永翔,2021-03-20,20,9,82,253
