trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
idol_producer_040,孙凡杰,2018-02-14,1,78,110,189
idol_producer_040,孙凡杰,2018-02-15,1,1,0,2
idol_producer_040,孙凡杰,2018-02-16,3,246,1706,1357
idol_producer_040,孙凡杰,2018-02-23,2,108,174,328
idol_producer_040,孙凡杰,2018-03-01,2,275,670,411
idol_producer_040,孙凡杰,2018-03-02,1,20,35,124
idol_producer_040,孙凡杰,2018-03-11,7,0,1,1
idol_producer_040,孙凡杰,2018-03-12,18,0,0,0
idol_producer_040,孙凡杰,2018-03-14,2,0,0,0
idol_producer_040,孙凡杰,2018-03-24,1,0,0,0
idol_producer_040,孙凡杰,2018-04-06,4,6,34,217
idol_producer_041,孙浩然,2018-01-26,3,283,363,1115
idol_producer_041,孙浩然,2018-02-16,3,377,1746,1486
idol_producer_041,孙浩然,2018-02-22,6,1744,1749,6405
idol_producer_041,孙浩然,2018-02-23,1,0,0,1
idol_producer_041,孙浩然,2018-02-26,1,551,477,992
idol_producer_041,孙浩然,2018-03-01,2,170,170,451
idol_producer_041,孙浩然,2018-03-02,2,0,0,0
idol_producer_041,孙浩然,2018-03-04,1,364,327,754
idol_producer_041,孙浩然,2018-03-05,1,0,0,0
idol_producer_041,孙浩然,2018-03-06,1,0,0,0
idol_producer_041,孙浩然,2018-03-08,3,24,11,152
idol_producer_041,孙浩然,2018-03-09,1,1,0,3
idol_producer_041,孙浩然,2018-03-12,1,0,0,0
idol_producer_041,孙浩然,2018-03-13,1,0,0,0
idol_producer_041,孙浩然,2018-03-14,1,0,0,0
idol_producer_041,孙浩然,2018-03-15,1,0,0,0
idol_producer_041,孙浩然,2018-03-16,1,0,0,0
idol_producer_041,孙浩然,2018-03-17,1,0,0,0
idol_producer_041,孙浩然,2018-03-19,2,0,0,0
idol_producer_041,孙浩然,2018-03-20,1,0,0,0
idol_producer_041,孙浩然,2018-03-21,3,61,71,209
idol_producer_041,孙浩然,2018-03-23,1,0,0,0
idol_producer_041,孙浩然,2018-03-31,1,0,0,0
idol_producer_041,孙浩然,2018-04-01,1,0,0,0
idol_producer_041,孙浩然,2018-04-02,1,0,0,0
idol_producer_041,孙浩然,2018-04-03,1,0,0,0
idol_producer_041,孙浩然,2018-04-05,1,67,62,166
idol_producer_041,孙浩然,2018-04-06,9,1626,1013,3643
idol_producer_042,宋睡觉,2018-01-23,3,0,0,21
idol_producer_042,宋睡觉,2018-01-27,1,0,3,1
idol_producer_042,宋睡觉,2018-03-01,1,0,3,40
idol_producer_042,宋睡觉,2018-03-02,1,0,0,1
idol_producer_042,宋睡觉,2018-03-05,1,0,9,43
idol_producer_042,宋睡觉,2018-03-20,1,0,0,0
idol_producer_042,宋睡觉,2018-03-23,2,191,1106,2415
idol_producer_042,宋睡觉,2018-04-03,1,1,24,103
idol_producer_043,岳岳,2018-02-02,7,0,0,0
idol_producer_043,岳岳,2018-03-02,19,16,8,65
idol_producer_043,岳岳,2018-03-23,16,397,270,1362
idol_producer_043,岳岳,2018-04-06,14,1,3,8
idol_producer_044,左叶,2018-01-26,5,2,17,59
idol_producer_044,左叶,2018-02-02,1,0,6,22
idol_producer_044,左叶,2018-02-16,1,2,32,106
idol_producer_044,左叶,2018-03-02,20,2329,2517,6655
idol_producer_044,左叶,2018-03-23,23,2556,1285,2054
idol_producer_044,左叶,2018-04-06,25,43,0,3
idol_producer_045,应智越,2018-01-27,1,17,24,49
idol_producer_045,应智越,2018-01-29,1,3,17,42
idol_producer_045,应智越,2018-01-30,1,1,2,17
idol_producer_045,应智越,2018-02-02,3,0,0,0
idol_producer_045,应智越,2018-02-07,1,0,30,16
idol_producer_045,应智越,2018-02-10,7,0,0,0
idol_producer_045,应智越,2018-02-11,5,0,0,0
idol_producer_045,应智越,2018-02-15,1,1,0,2
idol_producer_045,应智越,2018-02-16,3,220,1591,1046
idol_producer_045,应智越,2018-02-18,1,11,156,343
idol_producer_045,应智越,2018-02-23,1,5,86,409
idol_producer_045,应智越,2018-02-25,1,2,46,110
idol_producer_045,应智越,2018-02-27,1,1,29,114
idol_producer_045,应智越,2018-02-28,1,3,28,110
idol_producer_045,应智越,2018-03-01,3,2,20,73
idol_producer_045,应智越,2018-03-02,1,4,44,184
idol_producer_045,应智越,2018-03-03,2,5,40,144
idol_producer_045,应智越,2018-03-06,3,0,0,0
idol_producer_045,应智越,2018-03-10,5,29,86,288
idol_producer_045,应智越,2018-03-11,3,3,48,288
idol_producer_045,应智越,2018-03-12,1,4,41,295
idol_producer_045,应智越,2018-03-13,1,6,34,115
idol_producer_045,应智越,2018-03-14,1,2,18,129
idol_producer_045,应智越,2018-03-19,1,28,61,95
idol_producer_045,应智越,2018-03-23,1,0,0,0
idol_producer_045,应智越,2018-03-24,1,121,168,575
idol_producer_045,应智越,2018-03-27,1,0,0,0
idol_producer_045,应智越,2018-04-01,3,15,83,869
idol_producer_045,应智越,2018-04-06,7,8,36,283
idol_producer_046,张奕轩,2018-01-24,6,0,0,0
idol_producer_046,张奕轩,2018-01-25,3,0,0,0
idol_producer_046,张奕轩,2018-01-26,1,0,0,0
idol_producer_046,张奕轩,2018-02-01,4,224,132,74
idol_producer_046,张奕轩,2018-02-02,4,370,207,197
idol_producer_046,张奕轩,2018-02-14,1,0,4,48
idol_producer_046,张奕轩,2018-02-15,3,0,0,0
idol_producer_046,张奕轩,2018-02-16,1,2,32,106
idol_producer_046,张奕轩,2018-03-02,20,1477,1309,3738
idol_producer_046,张奕轩,2018-03-16,10,0,0,0
idol_producer_046,张奕轩,2018-03-17,5,0,1,7
idol_producer_046,张奕轩,2018-03-19,2,0,0,0
idol_producer_046,张奕轩,2018-03-20,1,0,4,9
idol_producer_046,张奕轩,2018-03-21,1,0,0,0
idol_producer_046,张奕轩,2018-03-22,1,1,11,10
idol_producer_046,张奕轩,2018-03-23,2,836,237,335
idol_producer_046,张奕轩,2018-04-06,4,26,0,0
idol_producer_047,张宇晨,2018-01-29,1,1,1,14
idol_producer_047,张宇晨,2018-02-02,1,0,3,24
idol_producer_047,张宇晨,2018-02-09,2,349,1006,2385
idol_producer_047,张宇晨,2018-02-10,1,4,16,39
idol_producer_047,张宇晨,2018-02-13,1,9,58,1119
idol_producer_047,张宇晨,2018-02-16,1,220,1591,1046
idol_producer_047,张宇晨,2018-02-27,1,0,3,11
idol_producer_047,张宇晨,2018-03-24,1,0,0,2
idol_producer_048,张昕,2018-02-02,2,371,205,148
idol_producer_048,张昕,2018-02-10,2,454,226,103
idol_producer_048,张昕,2018-02-16,1,220,1591,1046
idol_producer_048,张昕,2018-02-17,2,251,336,322
idol_producer_048,张昕,2018-03-01,1,0,0,1
idol_producer_048,张昕,2018-03-10,2,416,463,518
idol_producer_048,张昕,2018-03-23,1,835,234,323
idol_producer_048,张昕,2018-04-06,19,0,0,1
idol_producer_049,张晏恺,2018-01-26,7,722,868,2293
idol_producer_049,张晏恺,2018-02-15,3,0,2,19
idol_producer_049,张晏恺,2018-02-16,4,338,1907,2120
idol_producer_049,张晏恺,2018-03-01,4,17,79,258
idol_producer_049,张晏恺,2018-03-02,4,0,0,0
idol_producer_049,张晏恺,2018-04-06,15,0,0,1
idol_producer_050,张津铭,2018-02-10,1,0,6,21
idol_producer_050,张津铭,2018-02-13,1,0,21,10
idol_producer_050,张津铭,2018-02-18,1,1,26,14
idol_producer_050,张津铭,2018-03-03,1,0,0,29
idol_producer_051,张艺凡,2018-02-02,1,0,0,13
idol_producer_051,张艺凡,2018-02-14,2,0,0,0
idol_producer_051,张艺凡,2018-02-16,1,220,1591,1046
idol_producer_051,张艺凡,2018-03-01,1,0,0,3
idol_producer_051,张艺凡,2018-03-02,1,0,0,2
idol_producer_051,张艺凡,2018-03-03,1,0,1,12
idol_producer_051,张艺凡,2018-03-08,1,0,1,8
idol_producer_051,张艺凡,2018-03-10,1,4,9,85
idol_producer_051,张艺凡,2018-03-11,1,0,0,1
idol_producer_051,张艺凡,2018-04-04,1,0,2,0
idol_producer_051,张艺凡,2018-04-06,4,41,2,1
idol_producer_052,张达源,2018-01-25,1,0,0,1
idol_producer_052,张达源,2018-01-26,1,0,4,40
idol_producer_052,张达源,2018-02-15,2,10,14,40
idol_producer_052,张达源,2018-02-16,3,2,43,183
idol_producer_052,张达源,2018-03-01,4,2,10,37
idol_producer_052,张达源,2018-03-02,13,10,45,118
idol_producer_052,张达源,2018-03-22,17,2,5,67
idol_producer_052,张达源,2018-03-23,6,0,0,0
idol_producer_052,张达源,2018-04-06,20,155,710,1538
idol_producer_053,徐鹤尼,2018-01-26,17,0,0,0
idol_producer_053,徐鹤尼,2018-02-02,22,0,0,0
idol_producer_053,徐鹤尼,2018-02-16,7,228,1669,1161
idol_producer_053,徐鹤尼,2018-02-27,1,0,3,11
idol_producer_053,徐鹤尼,2018-03-01,4,3,16,47
idol_producer_053,徐鹤尼,2018-03-02,2,26,36,86
