trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
idol_producer_034,周腾阳,,0,8,247,1648,1215,html:初评级阶段:周腾阳 偶像练习生:200:12 | html:主题曲考核阶段:周腾阳 偶像练习生:200:15 | html:位置测评阶段:周腾阳 偶像练习生:200:11 | html:排名发布阶段:周腾阳 偶像练习生:200:12 | html:合作舞台阶段:周腾阳 偶像练习生:200:12 | html:总决赛阶段:周腾阳 偶像练习生:200:11,1,6,6
idol_producer_035,周锐,,0,64,59,327,934,html:初评级阶段:周锐 偶像练习生:200:15 | html:主题曲考核阶段:周锐 偶像练习生:200:15 | html:位置测评阶段:周锐 偶像练习生:200:9 | html:排名发布阶段:周锐 偶像练习生:200:22 | html:合作舞台阶段:周锐 偶像练习生:200:16 | html:总决赛阶段:周锐 偶像练习生:200:22,1,6,6
idol_producer_036,姜京佐,,0,36,2535,3720,4828,html:初评级阶段:姜京佐 偶像练习生:200:11 | html:主题曲考核阶段:姜京佐 偶像练习生:200:15 | html:位置测评阶段:姜京佐 偶像练习生:200:7 | html:排名发布阶段:姜京佐 偶像练习生:200:6 | html:合作舞台阶段:姜京佐 偶像练习生:200:16 | html:总决赛阶段:姜京佐 偶像练习生:200:16,1,6,6
idol_producer_037,姜祎,,0,0,0,0,0,html:初评级阶段:姜祎 偶像练习生:200:15 | html:主题曲考核阶段:姜祎 偶像练习生:200:15 | html:位置测评阶段:姜祎 偶像练习生:200:15 | html:排名发布阶段:姜祎 偶像练习生:200:15 | html:合作舞台阶段:姜祎 偶像练习生:200:15 | html:总决赛阶段:姜祎 偶像练习生:200:15,1,6,6
idol_producer_038,姜达赫,,0,38,1507,1232,2197,html:初评级阶段:姜达赫 偶像练习生:200:15 | html:主题曲考核阶段:姜达赫 偶像练习生:200:15 | html:位置测评阶段:姜达赫 偶像练习生:200:11 | html:排名发布阶段:姜达赫 偶像练习生:200:17 | html:合作舞台阶段:姜达赫 偶像练习生:200:21 | html:总决赛阶段:姜达赫 偶像练习生:200:14,1,6,6
idol_producer_039,娄滋博,,0,60,351,715,1513,html:初评级阶段:娄滋博 偶像练习生:200:13 | html:主题曲考核阶段:娄滋博 偶像练习生:200:5 | html:位置测评阶段:娄滋博 偶像练习生:200:10 | html:排名发布阶段:娄滋博 偶像练习生:200:13 | html:合作舞台阶段:娄滋博 偶像练习生:200:16 | html:总决赛阶段:娄滋博 偶像练习生:200:18,1,6,6
idol_producer_040,孙凡杰,,0,45,830,2842,2834,html:初评级阶段:孙凡杰 偶像练习生:200:12 | html:主题曲考核阶段:孙凡杰 偶像练习生:200:11 | html:位置测评阶段:孙凡杰 偶像练习生:200:5 | html:排名发布阶段:孙凡杰 偶像练习生:200:10 | html:合作舞台阶段:孙凡杰 偶像练习生:200:27 | html:总决赛阶段:孙凡杰 偶像练习生:200:15,1,6,6
idol_producer_041,孙浩然,,0,52,5268,5989,15377,html:初评级阶段:孙浩然 偶像练习生:200:8 | html:主题曲考核阶段:孙浩然 偶像练习生:200:15 | html:位置测评阶段:孙浩然 偶像练习生:200:13 | html:排名发布阶段:孙浩然 偶像练习生:200:12 | html:合作舞台阶段:孙浩然 偶像练习生:200:20 | html:总决赛阶段:孙浩然 偶像练习生:200:14,1,6,6
idol_producer_042,宋睡觉,,0,11,192,1145,2624,html:初评级阶段:宋睡觉 偶像练习生:200:8 | html:主题曲考核阶段:宋睡觉 偶像练习生:200:11 | html:位置测评阶段:宋睡觉 偶像练习生:200:15 | html:排名发布阶段:宋睡觉 偶像练习生:200:12 | html:合作舞台阶段:宋睡觉 偶像练习生:200:14 | html:总决赛阶段:宋睡觉 偶像练习生:200:11,1,6,6
idol_producer_043,岳岳,,0,56,414,281,1435,html:初评级阶段:岳岳 偶像练习生:200:15 | html:主题曲考核阶段:岳岳 偶像练习生:200:17 | html:位置测评阶段:岳岳 偶像练习生:200:15 | html:排名发布阶段:岳岳 偶像练习生:200:19 | html:合作舞台阶段:岳岳 偶像练习生:200:16 | html:总决赛阶段:岳岳 偶像练习生:200:14,1,6,6
idol_producer_044,左叶,,0,75,4932,3857,8899,html:初评级阶段:左叶 偶像练习生:200:5 | html:主题曲考核阶段:左叶 偶像练习生:200:11 | html:位置测评阶段:左叶 偶像练习生:200:11 | html:排名发布阶段:左叶 偶像练习生:200:20 | html:合作舞台阶段:左叶 偶像练习生:200:23 | html:总决赛阶段:左叶 偶像练习生:200:25,1,6,6
idol_producer_045,应智越,,0,62,491,2688,5596,html:初评级阶段:应智越 偶像练习生:200:15 | html:主题曲考核阶段:应智越 偶像练习生:200:6 | html:位置测评阶段:应智越 偶像练习生:200:17 | html:排名发布阶段:应智越 偶像练习生:200:14 | html:合作舞台阶段:应智越 偶像练习生:200:23 | html:总决赛阶段:应智越 偶像练习生:200:17,1,6,6
idol_producer_046,张奕轩,,0,69,2936,1937,4524,html:初评级阶段:张奕轩 偶像练习生:200:10 | html:主题曲考核阶段:张奕轩 偶像练习生:200:8 | html:位置测评阶段:张奕轩 偶像练习生:200:10 | html:排名发布阶段:张奕轩 偶像练习生:200:20 | html:合作舞台阶段:张奕轩 偶像练习生:200:22 | html:总决赛阶段:张奕轩 偶像练习生:200:9,1,6,6
idol_producer_047,张宇晨,,0,9,583,2678,4640,html:初评级阶段:张宇晨 偶像练习生:200:15 | html:主题曲考核阶段:张宇晨 偶像练习生:200:7 | html:位置测评阶段:张宇晨 偶像练习生:200:5 | html:排名发布阶段:张宇晨 偶像练习生:200:11 | html:合作舞台阶段:张宇晨 偶像练习生:200:15 | html:总决赛阶段:张宇晨 偶像练习生:200:11,1,6,6
idol_producer_048,张昕,,0,30,2547,3055,2462,html:初评级阶段:张昕 偶像练习生:200:15 | html:主题曲考核阶段:张昕 偶像练习生:200:7 | html:位置测评阶段:张昕 偶像练习生:200:13 | html:排名发布阶段:张昕 偶像练习生:200:8 | html:合作舞台阶段:张昕 偶像练习生:200:13 | html:总决赛阶段:张昕 偶像练习生:200:19,1,6,6
