trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
idol_producer_030,凌崎,5,排名发布阶段,16,1164,1024,1119,4331
idol_producer_030,凌崎,7,合作舞台阶段,11,0,0,5,5
idol_producer_030,凌崎,11,总决赛阶段,23,0,0,5,5
idol_producer_031,叶泓希,2,主题曲考核阶段,3,371,205,177,958
idol_producer_031,叶泓希,3,位置测评阶段,3,572,1905,2093,6475
idol_producer_031,叶泓希,5,排名发布阶段,5,384,428,577,1817
idol_producer_031,叶泓希,7,合作舞台阶段,7,1251,697,842,3487
idol_producer_031,叶泓希,11,总决赛阶段,27,0,0,3,3
idol_producer_032,吕晨瑜,1,初评级阶段,5,95,104,203,506
idol_producer_032,吕晨瑜,2,主题曲考核阶段,1,6,13,54,86
idol_producer_032,吕晨瑜,3,位置测评阶段,4,291,1962,3202,7417
idol_producer_032,吕晨瑜,5,排名发布阶段,11,699,1297,2038,5331
idol_producer_032,吕晨瑜,7,合作舞台阶段,8,128,664,960,2416
idol_producer_032,吕晨瑜,11,总决赛阶段,21,114,77,449,717
idol_producer_033,周彦辰,3,位置测评阶段,2,110,163,583,1019
idol_producer_033,周彦辰,5,排名发布阶段,16,8,8,214,238
idol_producer_033,周彦辰,7,合作舞台阶段,23,93,196,279,764
idol_producer_033,周彦辰,11,总决赛阶段,29,0,7,19,33
idol_producer_034,周腾阳,1,初评级阶段,2,0,0,0,0
idol_producer_034,周腾阳,3,位置测评阶段,1,220,1591,1046,4448
idol_producer_034,周腾阳,5,排名发布阶段,2,0,0,0,0
idol_producer_034,周腾阳,7,合作舞台阶段,2,27,57,168,309
idol_producer_034,周腾阳,11,总决赛阶段,1,0,0,1,1
idol_producer_035,周锐,3,位置测评阶段,4,48,168,565,949
idol_producer_035,周锐,5,排名发布阶段,22,9,131,240,511
idol_producer_035,周锐,7,合作舞台阶段,16,0,13,36,62
idol_producer_035,周锐,11,总决赛阶段,22,2,15,93,125
idol_producer_036,姜京佐,1,初评级阶段,1,458,1084,2089,4715
idol_producer_036,姜京佐,3,位置测评阶段,7,536,1887,1454,5764
idol_producer_036,姜京佐,5,排名发布阶段,6,100,244,466,1054
idol_producer_036,姜京佐,7,合作舞台阶段,16,1280,387,619,2673
idol_producer_036,姜京佐,11,总决赛阶段,6,161,118,200,597
idol_producer_038,姜达赫,3,位置测评阶段,1,2,32,106,172
idol_producer_038,姜达赫,5,排名发布阶段,7,1261,586,1192,3625
idol_producer_038,姜达赫,7,合作舞台阶段,21,8,21,82,132
idol_producer_038,姜达赫,11,总决赛阶段,9,236,593,817,2239
idol_producer_039,娄滋博,1,初评级阶段,3,2,3,30,38
idol_producer_039,娄滋博,2,主题曲考核阶段,5,120,207,370,904
idol_producer_039,娄滋博,3,位置测评阶段,5,61,287,489,1124
idol_producer_039,娄滋博,5,排名发布阶段,13,3,73,167,316
idol_producer_039,娄滋博,7,合作舞台阶段,16,126,103,324,656
idol_producer_039,娄滋博,11,总决赛阶段,18,39,42,133,256
idol_producer_040,孙凡杰,1,初评级阶段,2,90,103,189,485
idol_producer_040,孙凡杰,2,主题曲考核阶段,1,6,9,16,40
idol_producer_040,孙凡杰,3,位置测评阶段,5,325,1816,1548,5505
idol_producer_040,孙凡杰,5,排名发布阶段,5,403,879,863,3024
idol_producer_040,孙凡杰,7,合作舞台阶段,27,0,1,1,3
idol_producer_040,孙凡杰,11,总决赛阶段,5,6,34,217,291
idol_producer_041,孙浩然,1,初评级阶段,3,283,363,1115,2124
idol_producer_041,孙浩然,3,位置测评阶段,3,377,1746,1486,5355
idol_producer_041,孙浩然,5,排名发布阶段,12,2465,2396,7849,15106
idol_producer_041,孙浩然,7,合作舞台阶段,20,450,409,1118,2386
idol_producer_041,孙浩然,11,总决赛阶段,14,1693,1075,3809,7652
idol_producer_042,宋睡觉,1,初评级阶段,3,0,0,21,21
idol_producer_042,宋睡觉,2,主题曲考核阶段,1,0,3,1,7
idol_producer_042,宋睡觉,5,排名发布阶段,2,0,3,41,47
idol_producer_042,宋睡觉,7,合作舞台阶段,4,191,1115,2458,4879
idol_producer_042,宋睡觉,11,总决赛阶段,1,1,24,103,152
idol_producer_043,岳岳,2,主题曲考核阶段,7,0,0,0,0
idol_producer_043,岳岳,5,排名发布阶段,19,16,8,65,97
idol_producer_043,岳岳,7,合作舞台阶段,16,397,270,1362,2299
idol_producer_043,岳岳,11,总决赛阶段,14,1,3,8,15
idol_producer_044,左叶,1,初评级阶段,5,2,17,59,95
idol_producer_044,左叶,2,主题曲考核阶段,1,0,6,22,34
idol_producer_044,左叶,3,位置测评阶段,1,2,32,106,172
idol_producer_044,左叶,5,排名发布阶段,20,2329,2517,6655,14018
idol_producer_044,左叶,7,合作舞台阶段,23,2556,1285,2054,7180
idol_producer_044,左叶,11,总决赛阶段,25,43,0,3,46
idol_producer_045,应智越,2,主题曲考核阶段,6,21,43,108,215
idol_producer_045,应智越,3,位置测评阶段,17,221,1621,1064,4527
idol_producer_045,应智越,5,排名发布阶段,9,28,409,1343,2189
idol_producer_045,应智越,7,合作舞台阶段,18,77,328,1354,2087
idol_producer_045,应智越,11,总决赛阶段,12,144,287,1727,2445
idol_producer_046,张奕轩,1,初评级阶段,10,0,0,0,0
idol_producer_046,张奕轩,2,主题曲考核阶段,8,594,339,271,1543
idol_producer_046,张奕轩,3,位置测评阶段,5,2,36,154,228
idol_producer_046,张奕轩,5,排名发布阶段,20,1477,1309,3738,7833
idol_producer_046,张奕轩,7,合作舞台阶段,22,837,253,361,1704
idol_producer_046,张奕轩,11,总决赛阶段,4,26,0,0,26
idol_producer_047,张宇晨,2,主题曲考核阶段,2,1,4,38,47
idol_producer_047,张宇晨,3,位置测评阶段,5,582,2671,4589,10513
idol_producer_047,张宇晨,5,排名发布阶段,1,0,3,11,17
idol_producer_047,张宇晨,11,总决赛阶段,1,0,0,2,2
idol_producer_048,张昕,2,主题曲考核阶段,2,371,205,148,929
idol_producer_048,张昕,3,位置测评阶段,3,674,1817,1149,5457
idol_producer_048,张昕,5,排名发布阶段,3,251,336,323,1246
idol_producer_048,张昕,7,合作舞台阶段,3,1251,697,841,3486
idol_producer_048,张昕,11,总决赛阶段,19,0,0,1,1
idol_producer_049,张晏恺,1,初评级阶段,7,722,868,2293,4751
idol_producer_049,张晏恺,3,位置测评阶段,7,338,1909,2139,6295
idol_producer_049,张晏恺,5,排名发布阶段,8,17,79,258,433
idol_producer_049,张晏恺,11,总决赛阶段,15,0,0,1,1
idol_producer_050,张津铭,3,位置测评阶段,2,0,27,31,85
idol_producer_050,张津铭,5,排名发布阶段,1,1,26,14,67
idol_producer_050,张津铭,7,合作舞台阶段,1,0,0,29,29
idol_producer_051,张艺凡,2,主题曲考核阶段,1,0,0,13,13
idol_producer_051,张艺凡,3,位置测评阶段,3,220,1591,1046,4448
idol_producer_051,张艺凡,5,排名发布阶段,2,0,0,5,5
idol_producer_051,张艺凡,7,合作舞台阶段,4,4,11,106,132
idol_producer_051,张艺凡,11,总决赛阶段,5,41,4,1,50
idol_producer_052,张达源,1,初评级阶段,2,0,4,41,49
idol_producer_052,张达源,3,位置测评阶段,5,12,57,223,349
idol_producer_052,张达源,5,排名发布阶段,17,12,55,155,277
idol_producer_052,张达源,7,合作舞台阶段,23,2,5,67,79
idol_producer_052,张达源,11,总决赛阶段,20,155,710,1538,3113
idol_producer_053,徐鹤尼,1,初评级阶段,17,0,0,0,0
idol_producer_053,徐鹤尼,2,主题曲考核阶段,22,0,0,0,0
idol_producer_053,徐鹤尼,3,位置测评阶段,7,228,1669,1161,4727
idol_producer_053,徐鹤尼,5,排名发布阶段,7,29,55,144,283
idol_producer_053,徐鹤尼,7,合作舞台阶段,18,275,380,486,1521
idol_producer_053,徐鹤尼,11,总决赛阶段,30,0,0,0,0
idol_producer_054,明鹏,3,位置测评阶段,1,2,32,106,172
idol_producer_054,明鹏,5,排名发布阶段,9,309,1557,4276,7699
idol_producer_054,明鹏,7,合作舞台阶段,15,7,64,174,309
idol_producer_054,明鹏,11,总决赛阶段,15,6,50,141,247
idol_producer_055,木子洋,2,主题曲考核阶段,1,0,0,1,1
idol_producer_055,木子洋,5,排名发布阶段,21,16,2,129,149
idol_producer_055,木子洋,7,合作舞台阶段,8,396,249,1288,2182
idol_producer_055,木子洋,11,总决赛阶段,22,259,2,2,265
idol_producer_056,朱一文,3,位置测评阶段,1,220,1591,1046,4448
idol_producer_056,朱一文,5,排名发布阶段,4,297,1136,4577,7146
idol_producer_056,朱一文,7,合作舞台阶段,2,1,2,5,10
idol_producer_056,朱一文,11,总决赛阶段,7,8,34,346,422
idol_producer_057,朱匀一,2,主题曲考核阶段,1,6,13,54,86
idol_producer_057,朱匀一,3,位置测评阶段,1,2,32,106,172
idol_producer_057,朱匀一,5,排名发布阶段,21,1592,1259,2736,6846
idol_producer_057,朱匀一,7,合作舞台阶段,23,895,542,1687,3666
idol_producer_057,朱匀一,11,总决赛阶段,16,63,194,2099,2550
idol_producer_058,朱匀天,1,初评级阶段,4,277,160,421,1018
idol_producer_058,朱匀天,2,主题曲考核阶段,2,68,701,1574,3044
idol_producer_058,朱匀天,3,位置测评阶段,1,2,32,106,172
idol_producer_058,朱匀天,5,排名发布阶段,19,731,574,1255,3134
idol_producer_058,朱匀天,7,合作舞台阶段,17,776,389,1175,2729
idol_producer_058,朱匀天,11,总决赛阶段,15,0,1,11,13
idol_producer_059,李俊毅,2,主题曲考核阶段,1,39,232,291,794
idol_producer_059,李俊毅,3,位置测评阶段,4,3,41,131,216
idol_producer_059,李俊毅,5,排名发布阶段,19,11,86,204,387
idol_producer_059,李俊毅,7,合作舞台阶段,25,4672,3960,26392,38984
idol_producer_059,李俊毅,11,总决赛阶段,16,0,7,29,43
idol_producer_060,李志杰,1,初评级阶段,2,283,353,1040,2029
idol_producer_060,李志杰,3,位置测评阶段,3,317,1777,2309,6180
idol_producer_060,李志杰,5,排名发布阶段,1,170,170,451,961
idol_producer_060,李志杰,11,总决赛阶段,3,1466,923,2965,6277
idol_producer_061,李权哲,1,初评级阶段,3,84,88,123,383
idol_producer_061,李权哲,2,主题曲考核阶段,1,74,158,1832,2222
idol_producer_061,李权哲,3,位置测评阶段,2,2,32,106,172
idol_producer_061,李权哲,5,排名发布阶段,20,25,49,162,285
idol_producer_061,李权哲,7,合作舞台阶段,25,1,37,154,229
idol_producer_061,李权哲,11,总决赛阶段,21,68,57,546,728
idol_producer_062,李若天,1,初评级阶段,1,458,1084,2089,4715
idol_producer_062,李若天,3,位置测评阶段,2,222,1624,1086,4556
idol_producer_062,李若天,5,排名发布阶段,9,68,160,175,563
idol_producer_062,李若天,7,合作舞台阶段,19,7036,961,1421,10379
idol_producer_062,李若天,11,总决赛阶段,26,6711,3052,9998,22813
idol_producer_063,李让,1,初评级阶段,1,0,1,1,3
idol_producer_063,李让,2,主题曲考核阶段,3,37,119,59,334
idol_producer_063,李让,3,位置测评阶段,4,25,134,299,592
idol_producer_063,李让,5,排名发布阶段,20,3,8,25,44
idol_producer_063,李让,7,合作舞台阶段,21,370,1415,3840,7040
idol_producer_063,李让,11,总决赛阶段,18,0,0,10,10
idol_producer_064,李鑫岩,2,主题曲考核阶段,2,1,9,43,62
idol_producer_064,李鑫岩,3,位置测评阶段,4,232,1626,1154,4638
idol_producer_064,李鑫岩,7,合作舞台阶段,1,21,25,31,102
idol_producer_064,李鑫岩,11,总决赛阶段,5,62,57,333,509
idol_producer_065,李长庚,2,主题曲考核阶段,5,2,5,24,36
idol_producer_065,李长庚,3,位置测评阶段,1,2,32,106,172
idol_producer_065,李长庚,5,排名发布阶段,22,66,169,174,578
idol_producer_065,李长庚,7,合作舞台阶段,18,45,20,85,170
idol_producer_065,李长庚,11,总决赛阶段,27,0,0,3,3
idol_producer_066,杨羿,2,主题曲考核阶段,1,0,2,9,13
idol_producer_066,杨羿,3,位置测评阶段,3,223,1595,1099,4512
idol_producer_066,杨羿,5,排名发布阶段,1,0,3,11,17
idol_producer_066,杨羿,7,合作舞台阶段,1,11,26,50,113
idol_producer_066,杨羿,11,总决赛阶段,1,0,0,2,2
idol_producer_067,杨非同,1,初评级阶段,7,106,617,1868,3208
idol_producer_067,杨非同,2,主题曲考核阶段,15,15,31,163,240
idol_producer_067,杨非同,3,位置测评阶段,3,9,49,260,367
idol_producer_067,杨非同,5,排名发布阶段,20,132,239,520,1130
idol_producer_067,杨非同,7,合作舞台阶段,21,1355,1194,2269,6012
idol_producer_067,杨非同,11,总决赛阶段,28,0,11,22,44
idol_producer_068,林浩楷,1,初评级阶段,3,283,363,1115,2124
idol_producer_068,林浩楷,2,主题曲考核阶段,1,13,12,109,146
idol_producer_068,林浩楷,3,位置测评阶段,8,882,2383,2993,8641
idol_producer_068,林浩楷,5,排名发布阶段,11,2666,2676,8678,16696
idol_producer_068,林浩楷,7,合作舞台阶段,3,364,327,755,1773
idol_producer_068,林浩楷,11,总决赛阶段,11,2041,1220,4004,8485
idol_producer_069,梁辉,2,主题曲考核阶段,1,0,0,1,1
idol_producer_069,梁辉,3,位置测评阶段,6,7,104,213,428
idol_producer_069,梁辉,5,排名发布阶段,19,4,22,91,139
idol_producer_069,梁辉,7,合作舞台阶段,21,60,287,2301,2935
idol_producer_069,梁辉,11,总决赛阶段,18,30,134,837,1135
idol_producer_070,武连杰,2,主题曲考核阶段,8,124,220,410,974
idol_producer_070,武连杰,3,位置测评阶段,3,20,122,215,479
idol_producer_070,武连杰,5,排名发布阶段,17,38,146,509,839
idol_producer_070,武连杰,7,合作舞台阶段,1,0,0,0,0
idol_producer_070,武连杰,11,总决赛阶段,13,3,10,17,40
idol_producer_071,王宥辰,1,初评级阶段,4,330,206,537,1279
idol_producer_071,王宥辰,2,主题曲考核阶段,1,6,13,54,86
idol_producer_071,王宥辰,3,位置测评阶段,5,279,1638,1211,4766
idol_producer_071,王宥辰,7,合作舞台阶段,9,1,0,3,4
idol_producer_071,王宥辰,11,总决赛阶段,3,0,0,1,1
idol_producer_072,王梓豪,1,初评级阶段,3,71,561,1720,2913
idol_producer_072,王梓豪,2,主题曲考核阶段,2,4,3,55,65
idol_producer_072,王梓豪,3,位置测评阶段,19,239,1644,1267,4794
idol_producer_072,王梓豪,5,排名发布阶段,3,23,57,169,306
idol_producer_072,王梓豪,7,合作舞台阶段,7,46,70,542,728
idol_producer_072,王梓豪,11,总决赛阶段,8,10547,2422,1918,17309
idol_producer_073,王艺龙,1,初评级阶段,3,0,6,69,81
idol_producer_073,王艺龙,2,主题曲考核阶段,1,4,3,41,51
idol_producer_073,王艺龙,3,位置测评阶段,7,19,92,304,507
idol_producer_073,王艺龙,5,排名发布阶段,19,32,84,249,449
idol_producer_073,王艺龙,7,合作舞台阶段,22,1618,2449,6783,13299
idol_producer_073,王艺龙,11,总决赛阶段,23,10563,2565,3121,18814
idol_producer_074,甘俊,3,位置测评阶段,1,220,1591,1046,4448
idol_producer_074,甘俊,5,排名发布阶段,1,0,1,1,3
idol_producer_074,甘俊,7,合作舞台阶段,5,3,23,168,217
idol_producer_074,甘俊,11,总决赛阶段,2,1,4,7,16
idol_producer_075,秦子墨,1,初评级阶段,1,0,6,4,16
idol_producer_075,秦子墨,2,主题曲考核阶段,2,3,4,18,29
idol_producer_075,秦子墨,3,位置测评阶段,4,2,36,126,200
idol_producer_075,秦子墨,5,排名发布阶段,19,1284,1283,2418,6268
idol_producer_075,秦子墨,7,合作舞台阶段,18,3513,1352,2004,8221
idol_producer_075,秦子墨,11,总决赛阶段,9,33,23,93,172
idol_producer_076,罗仁麒,1,初评级阶段,1,0,0,20,20
idol_producer_076,罗仁麒,2,主题曲考核阶段,4,3,11,69,94
idol_producer_076,罗仁麒,5,排名发布阶段,3,0,11,15,37
idol_producer_076,罗仁麒,7,合作舞台阶段,20,40,114,223,491
idol_producer_076,罗仁麒,11,总决赛阶段,3,1,0,3,4
idol_producer_077,罗杰,1,初评级阶段,1,109,42,171,364
idol_producer_077,罗杰,2,主题曲考核阶段,1,0,3,24,30
